timestamp,batch_id,pH,temperature_C,metal_feed_rate,aa_feed_rate,mixer_rpm,event,alarm,calibration_status,product_yield_kg,batch_release_decision,post_maintenance_verification,operator_notes,handoff_to_rnd,handoff_to_ops,handoff_to_leadership
2026-03-20 08:39:00,BATCH-001,5.56,61.82,1.26,1.0,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:40:00,BATCH-001,5.57,62.0,1.14,1.025,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:41:00,BATCH-001,5.58,62.18,1.17,1.05,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:42:00,BATCH-001,5.52,62.36,1.2,0.925,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:43:00,BATCH-001,5.53,62.54,1.23,0.95,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:44:00,BATCH-001,5.54,62.72,1.26,0.975,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:45:00,BATCH-001,5.55,61.28,1.14,1.0,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:46:00,BATCH-001,5.56,61.46,1.17,1.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:47:00,BATCH-001,5.57,61.64,1.2,1.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:48:00,BATCH-001,5.58,61.82,1.23,0.925,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:49:00,BATCH-001,5.52,62.0,1.26,0.95,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:50:00,BATCH-001,5.53,62.18,1.14,0.975,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:51:00,BATCH-001,5.54,62.36,1.17,1.0,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:52:00,BATCH-001,5.55,62.54,1.2,1.025,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:53:00,BATCH-001,5.56,62.72,1.23,1.05,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:54:00,BATCH-001,5.57,61.28,1.26,0.925,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:55:00,BATCH-001,5.58,61.46,1.14,0.95,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:56:00,BATCH-001,5.52,61.64,1.17,0.975,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:57:00,BATCH-001,5.53,61.82,1.2,1.0,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:58:00,BATCH-001,5.54,62.0,1.23,1.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:59:00,BATCH-001,5.55,62.18,1.26,1.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:00:00,BATCH-001,5.56,62.36,1.14,0.925,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:01:00,BATCH-001,5.57,62.54,1.17,0.95,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:02:00,BATCH-001,5.58,62.72,1.2,0.975,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:03:00,BATCH-001,5.52,61.28,1.23,1.0,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:04:00,BATCH-001,5.53,61.46,1.26,1.025,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:05:00,BATCH-001,5.54,61.64,1.14,1.05,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:06:00,BATCH-001,5.55,61.82,1.17,0.925,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:07:00,BATCH-001,5.56,62.0,1.2,0.95,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:08:00,BATCH-001,5.57,62.18,1.23,0.975,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:09:00,BATCH-001,5.58,62.36,1.26,1.0,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:10:00,BATCH-001,5.52,62.54,0.14,1.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:11:00,BATCH-001,5.53,62.72,0.17,1.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:12:00,BATCH-001,5.54,61.28,0.2,0.925,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:13:00,BATCH-001,5.55,61.46,0.23,0.95,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:14:00,BATCH-001,5.56,61.64,0.26,0.975,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:15:00,BATCH-001,5.57,61.82,0.14,0.1,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:16:00,BATCH-001,5.58,62.0,0.17,0.125,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:17:00,BATCH-001,5.52,62.18,0.2,0.15,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:18:00,BATCH-001,5.53,62.36,0.23,0.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:19:00,BATCH-001,5.54,62.54,0.26,0.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:20:00,BATCH-001,5.55,62.72,0.14,0.075,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:21:00,BATCH-001,5.56,61.28,0.17,0.1,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:22:00,BATCH-001,5.57,61.46,0.2,0.125,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:23:00,BATCH-001,5.58,61.64,0.23,0.15,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:24:00,BATCH-001,5.52,61.82,0.26,0.025,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:25:00,BATCH-001,5.53,62.0,0.14,0.05,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:26:00,BATCH-001,5.54,62.18,0.17,0.075,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:27:00,BATCH-001,5.55,62.36,0.2,0.1,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:28:00,BATCH-001,5.56,62.54,0.23,0.125,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:29:00,BATCH-001,5.57,62.72,0.26,0.15,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:30:00,BATCH-001,5.58,61.28,0.14,0.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:31:00,BATCH-001,5.52,61.46,0.17,0.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:32:00,BATCH-001,5.53,61.64,0.2,0.075,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:33:00,BATCH-001,5.54,61.82,0.23,0.1,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:34:00,BATCH-001,5.55,62.0,0.26,0.125,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:35:00,BATCH-001,5.56,62.18,0.14,0.15,163,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:36:00,BATCH-001,5.57,62.36,0.17,0.025,154,Reaction hold,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:37:00,BATCH-001,5.58,62.54,0.2,0.05,157,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:38:00,BATCH-001,5.52,62.72,0.23,0.075,160,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:39:00,BATCH-001,5.53,61.28,0.26,0.1,163,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:40:00,BATCH-001,5.54,61.46,0.14,0.125,154,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:41:00,BATCH-001,5.55,61.64,0.17,0.15,157,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:42:00,BATCH-001,5.56,61.82,0.2,0.025,160,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:43:00,BATCH-001,5.57,62.0,0.23,0.05,163,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:44:00,BATCH-001,5.58,62.18,0.26,0.075,154,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:45:00,BATCH-001,5.52,62.36,0.14,0.1,157,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:46:00,BATCH-001,5.53,62.54,0.17,0.125,160,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:47:00,BATCH-001,5.54,62.72,0.2,0.15,163,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:48:00,BATCH-001,5.55,61.28,0.23,0.025,154,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:49:00,BATCH-001,5.56,61.46,0.26,0.05,157,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:50:00,BATCH-001,5.57,61.64,0.14,0.075,160,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:51:00,BATCH-001,5.58,61.82,0.17,0.1,163,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:52:00,BATCH-001,5.52,62.0,0.2,0.125,154,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:53:00,BATCH-001,5.53,62.18,0.23,0.15,157,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:54:00,BATCH-001,5.54,62.36,0.26,0.025,160,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:55:00,BATCH-001,5.55,62.54,0.14,0.05,163,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 09:56:00,BATCH-001,5.56,62.72,0.17,0.075,154,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
